Log In,Come utente vorrei poter accedere alla webapp in modo da usarne i servizi.,Design API,,15,,,,,,,,,,,,,,,
Log In,Come utente vorrei poter accedere alla webapp in modo da usarne i servizi.,Implementazione metodo REST,,,,,,,,,,,,,,,,,
Log In,Come utente vorrei poter accedere alla webapp in modo da usarne i servizi.,Progettazione e implementazione DB,,,,,,,,,,,,,,,,,
Log In,Come utente vorrei poter accedere alla webapp in modo da usarne i servizi.,Sviluppo UI,,,,,,,,,,,,,,,,,
Log In,Come utente vorrei poter accedere alla webapp in modo da usarne i servizi.,Documentazione,,,,,,,,,,,,,,,,,
Log In,Come utente vorrei poter accedere alla webapp in modo da usarne i servizi.,Testing,,,,,,,,,,,,,,,,,
Log In,Come utente vorrei poter accedere alla webapp in modo da usarne i servizi.,Deploy,,,,,,,,,,,,,,,,,
Log Out,Come utente vorrei poter uscire dal mio account della webapp per ragioni di sicurezza e nel caso un altro utente debba usare il mio stesso dispositivo.,Design API,,2,,,,,,,,,,,,,,,
Log Out,Come utente vorrei poter uscire dal mio account della webapp per ragioni di sicurezza e nel caso un altro utente debba usare il mio stesso dispositivo.,Implementazione metodo REST,,,,,,,,,,,,,,,,,
Log Out,Come utente vorrei poter uscire dal mio account della webapp per ragioni di sicurezza e nel caso un altro utente debba usare il mio stesso dispositivo.,Progettazione e implementazione DB,,,,,,,,,,,,,,,,,
Log Out,Come utente vorrei poter uscire dal mio account della webapp per ragioni di sicurezza e nel caso un altro utente debba usare il mio stesso dispositivo.,Sviluppo UI,,,,,,,,,,,,,,,,,
Log Out,Come utente vorrei poter uscire dal mio account della webapp per ragioni di sicurezza e nel caso un altro utente debba usare il mio stesso dispositivo.,Documentazione,,,,,,,,,,,,,,,,,
Log Out,Come utente vorrei poter uscire dal mio account della webapp per ragioni di sicurezza e nel caso un altro utente debba usare il mio stesso dispositivo.,Testing,,,,,,,,,,,,,,,,,
Log Out,Come utente vorrei poter uscire dal mio account della webapp per ragioni di sicurezza e nel caso un altro utente debba usare il mio stesso dispositivo.,Deploy,,,,,,,,,,,,,,,,,
Timbrare,Come utente voglio poter timbrare per segnalare la mia presenza nel posto di lavoro.,Design API,,10,,,,,,,,,,,,,,,
Timbrare,Come utente voglio poter timbrare per segnalare la mia presenza nel posto di lavoro.,Implementazione metodo REST,,,,,,,,,,,,,,,,,
Timbrare,Come utente voglio poter timbrare per segnalare la mia presenza nel posto di lavoro.,Progettazione e implementazione DB,,,,,,,,,,,,,,,,,
Timbrare,Come utente voglio poter timbrare per segnalare la mia presenza nel posto di lavoro.,Sviluppo UI,,,,,,,,,,,,,,,,,
Timbrare,Come utente voglio poter timbrare per segnalare la mia presenza nel posto di lavoro.,Documentazione,,,,,,,,,,,,,,,,,
Timbrare,Come utente voglio poter timbrare per segnalare la mia presenza nel posto di lavoro.,Testing,,,,,,,,,,,,,,,,,
Timbrare,Come utente voglio poter timbrare per segnalare la mia presenza nel posto di lavoro.,Deploy,,,,,,,,,,,,,,,,,
Cambia password,Come utente vorrei poter cambiare o resettare la mia password per ragioni di sicurezza.,Design API,,5,,,,,,,,,,,,,,,
Cambia password,Come utente vorrei poter cambiare o resettare la mia password per ragioni di sicurezza.,Implementazione metodo REST,,,,,,,,,,,,,,,,,
Cambia password,Come utente vorrei poter cambiare o resettare la mia password per ragioni di sicurezza.,Progettazione e implementazione DB,,,,,,,,,,,,,,,,,
Cambia password,Come utente vorrei poter cambiare o resettare la mia password per ragioni di sicurezza.,Sviluppo UI,,,,,,,,,,,,,,,,,
Cambia password,Come utente vorrei poter cambiare o resettare la mia password per ragioni di sicurezza.,Documentazione,,,,,,,,,,,,,,,,,
Cambia password,Come utente vorrei poter cambiare o resettare la mia password per ragioni di sicurezza.,Testing,,,,,,,,,,,,,,,,,
Cambia password,Come utente vorrei poter cambiare o resettare la mia password per ragioni di sicurezza.,Deploy,,,,,,,,,,,,,,,,,
Visualizzare dati account,"Come utente voglio poter visualizzare i miei dati personali come nome, cognome ed e-mail per controllare che siano corretti.",Design API,,6,,,,,,,,,,,,,,,
,,Implementazione metodo REST,,,,,,,,,,,,,,,,,
,,Progettazione e implementazione DB,,,,,,,,,,,,,,,,,
,,Sviluppo UI,,,,,,,,,,,,,,,,,
,,Documentazione,,,,,,,,,,,,,,,,,
,,Testing,,,,,,,,,,,,,,,,,
,,Deploy,,,,,,,,,,,,,,,,,
Visualizza dati personali,"Come utente voglio avere una Area Personale che raccoglie i miei dati personali che riguardano l'azienda come il nome del mio reparto, i miei progetti attivi e informazioni sul mio compenso e ferie. Questo mi permette di avere informazioni sul mio ruolo nell'azienda con uno sguardo.",Design API,,8,,,,,,,,,,,,,,,
,,Implementazione metodo REST,,,,,,,,,,,,,,,,,
,,Progettazione e implementazione DB,,,,,,,,,,,,,,,,,
,,Sviluppo UI,,,,,,,,,,,,,,,,,
,,Documentazione,,,,,,,,,,,,,,,,,
,,Testing,,,,,,,,,,,,,,,,,
,,Deploy,,,,,,,,,,,,,,,,,
Visualizzare stipendi,Come dipendente voglio visualizzare le mie buste paghe per avere informazioni sul mio compenso.,Design API,,5,,,,,,,,,,,,,,,
,,Implementazione metodo REST,,,,,,,,,,,,,,,,,
,,Progettazione e implementazione DB,,,,,,,,,,,,,,,,,
,,Sviluppo UI,,,,,,,,,,,,,,,,,
,,Documentazione,,,,,,,,,,,,,,,,,
,,Testing,,,,,,,,,,,,,,,,,
,,Deploy,,,,,,,,,,,,,,,,,
Modifica dati,"Come responsabile voglio poter modificare i dati dei miei dipendenti (costo orario, ecc) in caso di errori o cambiamenti.",Design API,,20,,,,,,,,,,,,,,,
,,Implementazione metodo REST,,,,,,,,,,,,,,,,,
,,Progettazione e implementazione DB,,,,,,,,,,,,,,,,,
,,Sviluppo UI,,,,,,,,,,,,,,,,,
,,Documentazione,,,,,,,,,,,,,,,,,
,,Testing,,,,,,,,,,,,,,,,,
,,Deploy,,,,,,,,,,,,,,,,,
Visualizza log modifiche,Come utente voglio poter visualizzare le modifiche ai miei dati fatte dai miei responsabili in modo che siano tracciabili e trasparenti.,Design API,,10,,,,,,,,,,,,,,,
,,Implementazione metodo REST,,,,,,,,,,,,,,,,,
,,Progettazione e implementazione DB,,,,,,,,,,,,,,,,,
,,Sviluppo UI,,,,,,,,,,,,,,,,,
,,Documentazione,,,,,,,,,,,,,,,,,
,,Testing,,,,,,,,,,,,,,,,,
,,Deploy,,,,,,,,,,,,,,,,,
Richiesta ferie,Come dipendente voglio poter richiedere giorni di ferie per avvisare il mio responsabile.,Design API,,10,,,,,,,,,,,,,,,
,,Implementazione metodo REST,,,,,,,,,,,,,,,,,
,,Progettazione e implementazione DB,,,,,,,,,,,,,,,,,
,,Sviluppo UI,,,,,,,,,,,,,,,,,
,,Documentazione,,,,,,,,,,,,,,,,,
,,Testing,,,,,,,,,,,,,,,,,
,,Deploy,,,,,,,,,,,,,,,,,
Richiesta permesso malattia,Come dipendendente voglio poter richiedere giorni di malattia per avvisare il mio responsabile.,Design API,,10,,,,,,,,,,,,,,,
,,Implementazione metodo REST,,,,,,,,,,,,,,,,,
,,Progettazione e implementazione DB,,,,,,,,,,,,,,,,,
,,Sviluppo UI,,,,,,,,,,,,,,,,,
,,Documentazione,,,,,,,,,,,,,,,,,
,,Testing,,,,,,,,,,,,,,,,,
,,Deploy,,,,,,,,,,,,,,,,,
Visualizzazione stato richieste,Come dipendente voglio poter vedere una lista delle richieste effettuate ed il loro stato per sapere se sono state approvate.,Design API,,5,,,,,,,,,,,,,,,
,,Implementazione metodo REST,,,,,,,,,,,,,,,,,
,,Progettazione e implementazione DB,,,,,,,,,,,,,,,,,
,,Sviluppo UI,,,,,,,,,,,,,,,,,
,,Documentazione,,,,,,,,,,,,,,,,,
,,Testing,,,,,,,,,,,,,,,,,
,,Deploy,,,,,,,,,,,,,,,,,
